robot1,servo,wave,2021-04-27,05:04:50am
robot2,rgb-led,green,2021-04-27,05:05:03am
coolRobotName,rgb-led,FF:00:FF,2021-04-27,05:05:16am
coolRobotName,rgb-led,FF:00:FF,2021-04-27,05:06:48am
robot1,rgb-led,FF:00:FF,2021-04-27,05:06:58am
coolRobotName,led-1,on,2021-04-27,05:07:12am
robot2,led-1,on,2021-04-27,05:07:27am
robot4,led-3,on,2021-04-27,05:44:57pm
coolRobotName,led-3,on,2021-04-27,07:29:41pm
coolRobotName,rgb-led,red,2021-05-03,02:29:07am
select,select,select,2021-05-03,02:59:15am
select,servo,90,2021-05-03,08:30:38pm
robot1,led-3,wave,2021-05-04,01:41:56am
coolRobotName,servo,wave,2021-05-04,01:42:37am
robot4,rgb-led,green,2021-05-04,01:45:00am
robot20,rgb-led,orange,2021-05-04,01:51:33am
robot1,led-1,on,2021-05-04,01:59:55pm
robot2,led-1,on,2021-05-04,02:00:05pm
robot3,led-1,on,2021-05-04,02:00:12pm
robot1,led-1,off,2021-05-04,02:00:21pm
robot2,led-1,off,2021-05-04,02:00:30pm
robot3,led-1,off,2021-05-04,02:00:36pm
robot4,rgb-led,red,2021-05-04,02:00:49pm
robot4,rgb-led,blue,2021-05-04,02:00:56pm
robot4,rgb-led,green,2021-05-04,02:01:04pm
robot21,rgb-led,orange,2021-05-04,08:51:58pm
robot3,led-1,on,2021-05-04,08:52:56pm
robot2,rgb-led,blue,2021-05-12,09:40:01pm
robot2,rgb-led,red,2021-05-12,09:42:48pm
robot2,led-3,on,2021-05-12,10:55:07pm
robot2,led-1,on,2021-05-18,02:14:42am
robot2,rgb-led,blue,2021-05-18,02:30:16am
robot2,rgb-led,red,2021-05-18,02:31:17am
robot2,rgb-led,red,2021-05-18,02:37:33am
robot2,rgb-led,red,2021-05-18,02:38:23am
robot2,led-1,on,2021-05-18,02:47:25am
robot2,led-2,on,2021-05-18,02:47:46am
robot2,rgb-led,red,2021-05-19,05:24:53pm
robot2,rgb-led,red,2021-05-19,05:28:21pm
robot2,rgb-led,red,2021-05-24,09:38:29pm
robot2,rgb-led,blue,2021-05-24,09:44:53pm
robot2,rgb-led,blue,2021-05-24,09:46:03pm
robot2,rgb-led,red,2021-05-24,09:49:01pm
robot2,rgb-led,green,2021-05-24,09:49:27pm
robot2,rgb-led,blue,2021-05-24,09:49:44pm
robot2,rgb-led,red,2021-05-24,09:50:38pm
robot2,rgb-led,green,2021-05-24,09:50:55pm
robot2,rgb-led,blue,2021-05-24,09:51:28pm
robot2,rgb-led,red,2021-05-24,09:52:16pm
robot2,rgb-led,green,2021-05-24,09:52:33pm
robot2,rgb-led,blue,2021-05-24,09:52:55pm
robot2,rgb-led,green,2021-05-24,09:53:49pm
robot2,led-1,on,2021-05-24,09:54:28pm
robot2,led-3,on,2021-05-24,09:55:11pm
robot2,led-3,off,2021-05-24,09:55:48pm
robot2,led-3,on,2021-05-24,09:55:57pm
robot2,led-2,on,2021-05-24,09:56:14pm
Ghost,rgb-led,green,2021-05-24,10:13:26pm
Ghost,rgb-led,red,2021-05-24,10:16:36pm
Ghost,rgb-led,blue,2021-05-24,10:16:49pm
